id,in_users,in_profiles,in_catalog_users,users_count,profiles_count,catalog_users_count
539026544,no,yes,yes,0,1,1
539107979,no,yes,yes,0,1,1
542375122,no,yes,yes,0,2,2
543712696,no,yes,yes,0,1,1
544276483,no,yes,yes,0,1,1
545041397,no,yes,yes,0,2,2
545936595,no,yes,yes,0,2,2
546440054,no,yes,yes,0,1,1
546557851,no,yes,yes,0,1,1
547982924,no,yes,yes,0,1,1
548418877,no,yes,yes,0,1,1
549227999,no,yes,yes,0,1,1
550007435,no,yes,yes,0,1,1
550042495,no,yes,yes,0,1,1
550075345,no,yes,yes,0,1,1
551105956,no,yes,yes,0,1,1
552435467,no,yes,yes,0,2,2
552758043,no,yes,yes,0,1,1
552785396,no,yes,yes,0,2,2
552829035,no,yes,yes,0,1,1
554877593,no,yes,yes,0,2,2
555402647,no,yes,yes,0,1,1
555549854,no,yes,yes,0,1,1
556244233,no,yes,yes,0,2,2
556546393,no,yes,yes,0,2,2
557017696,no,yes,yes,0,1,1
557115394,no,yes,yes,0,1,1
557230813,no,yes,yes,0,1,1
557492012,no,yes,yes,0,1,1
558820228,no,yes,yes,0,1,1
559196637,no,yes,yes,0,1,1
559459019,no,yes,yes,0,1,1
559748327,no,yes,yes,0,1,1
560156882,no,yes,yes,0,2,2
560937204,no,yes,yes,0,1,1
562576032,no,yes,yes,0,1,1
563084778,no,yes,yes,0,1,1
563649306,no,yes,yes,0,2,2
563842816,no,yes,yes,0,1,1
564082371,no,yes,yes,0,2,2
564488540,no,yes,yes,0,1,1
564769027,no,yes,yes,0,1,1
564800821,no,yes,yes,0,1,1
565297821,no,yes,yes,0,1,1
566199754,no,yes,yes,0,1,1
566672951,no,yes,yes,0,1,1
571479475,no,yes,yes,0,1,1
571556254,no,yes,yes,0,1,1
572182587,no,yes,yes,0,2,2
572614315,no,yes,yes,0,1,1
573020429,no,yes,yes,0,1,1
573103569,no,yes,yes,0,1,1
574234413,no,yes,yes,0,1,1
574254996,no,yes,yes,0,1,1
574334695,no,yes,yes,0,1,1
574422107,no,yes,yes,0,1,1
574694923,no,yes,yes,0,1,1
575608989,no,yes,yes,0,1,1
576003778,no,yes,yes,0,1,1
576830437,no,yes,yes,0,1,1
577064207,no,yes,yes,0,1,1
577686739,no,yes,yes,0,1,1
577698488,no,yes,yes,0,1,1
577824245,no,yes,yes,0,2,2
578033514,no,yes,yes,0,1,1
578612936,no,yes,yes,0,1,1
578904563,no,yes,yes,0,1,1
579213459,no,yes,yes,0,2,2
580827530,no,yes,yes,0,1,1
581769057,no,yes,yes,0,1,1
582201308,no,yes,yes,0,1,1
583208382,no,yes,yes,0,1,1
584917627,no,yes,yes,0,1,1
585216031,no,yes,yes,0,1,1
585290865,no,yes,yes,0,1,1
586189441,no,yes,yes,0,1,1
586686213,no,yes,yes,0,1,1
588434800,no,yes,yes,0,1,1
589071177,no,yes,yes,0,1,1
589855345,no,yes,yes,0,1,1
589894384,no,yes,yes,0,1,1
590585993,no,yes,yes,0,1,1
590686041,no,yes,yes,0,1,1
592117560,no,yes,yes,0,1,1
592217622,no,yes,yes,0,2,2
592232790,no,yes,yes,0,1,1
592517448,no,yes,yes,0,1,1
592681382,no,yes,yes,0,1,1
593953973,no,yes,yes,0,1,1
595144604,no,yes,yes,0,1,1
596018460,no,yes,yes,0,1,1
596164146,no,yes,yes,0,1,1
599292664,no,yes,yes,0,2,2
599479857,no,yes,yes,0,1,1
600007965,no,yes,yes,0,1,1
600441985,no,yes,yes,0,1,1
601007098,no,yes,yes,0,2,2
602893068,no,yes,yes,0,2,2
603374355,no,yes,yes,0,1,1
603996916,no,yes,yes,0,2,2
604885708,no,yes,yes,0,2,2
605161756,no,yes,yes,0,1,1
605732087,no,yes,yes,0,1,1
606320222,no,yes,yes,0,1,1
606398707,no,yes,yes,0,2,2
606989174,no,yes,yes,0,1,1
607911014,no,yes,yes,0,1,1
608410536,no,yes,yes,0,1,1
608510378,no,yes,yes,0,1,1
608903811,no,yes,yes,0,2,2
608989823,no,yes,yes,0,1,1
609175134,no,yes,yes,0,1,1
609258133,no,yes,yes,0,1,1
609327802,no,yes,yes,0,1,1
612152428,no,yes,yes,0,1,1
612459443,no,yes,yes,0,1,1
613619853,no,yes,yes,0,1,1
614016363,no,yes,yes,0,1,1
614429530,no,yes,yes,0,1,1
